date,captured_at,query,sort,source_segment,source_query,segment_position,source_page,search_position,bestseller_rank,category_rank,rank_scope,rank_scope_position,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,category,url,seller_name,seller_score,price,original_price,discount_percent,price_delta_percent,currency,campaigns,stock_status,stock_signal,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,rating_count,review_count,review_delta,question_count,basket_signal,favorite_signal,view_signal,shipping_cost,shipping_currency,handling_days_min,handling_days_max,transit_days_min,transit_days_max,delivery_summary,badge,image_url,properties,sample_review_count,sample_review_avg,detail_status,detail_selection,detail_attempted,detail_refreshed_at,detail_age_days,data_sources,field_availability,detail_ok,detail_error
2026-08-23,2026-08-23T10:00:54+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,1,1,1,1,1,ev-yasam:birlesik-ev-yasam,1,2,138.1,74.5,114285258,246399,114285258:246399,Genel Markalar 5 Katlı Metal Pantolon Askısı Dolap Elbise Askısı Giysi Eşarp Fular Havlu Kravat Düzenleyici,Genel Markalar,,https://www.trendyol.com/genel-markalar/5-katli-metal-pantolon-askisi-dolap-elbise-askisi-giysi-esarp-fular-havlu-kravat-duzenleyici-p-114285258?boutiqueId=61&merchantId=246399,Koza Gift,88,44,,,0,TRY,"[""15 TL Kupon"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 2B+ ürün satıldı!,3,2000,666.7,4.1,5740,,0,257,"3,2B kişinin sepetinde","121,3B kişi favoriledi",Son 24 saatte 2B kişi görüntüledi,,,0,,,,13 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,,{},0,,refreshed,"[""daily_top"",""hot_change""]",true,2026-08-23T10:00:54+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-23,2026-08-23T10:00:54+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,2,1,2,2,3,ev-yasam:birlesik-ev-yasam,2,-1,131.1,74,355544354,1181179,355544354:1181179,Canbay Store 24 Adet Ahşap Görünümlü Plastik A Kalite 24 Adet Siyah Askı Pantolon Gömlek Askı,Canbay Store,Askı,https://www.trendyol.com/canbay-store/24-adet-ahsap-gorunumlu-plastik-a-kalite-24-adet-siyah-aski-pantolon-gomlek-aski-p-355544354?boutiqueId=61&merchantId=1181179,Canbays,9,240.62,,,0,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,"Son 3 günde 1,5B+ ürün satıldı!",3,1500,500,4.3,10425,5850,12,236,"6,8B kişinin sepetinde","133,7B kişi favoriledi","Son 24 saatte 2,1B kişi görüntüledi",4999,TRY,0,1,1,3,13 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 3. Ürün,https://cdn.dsmcdn.com/ty1686/prod/QC_ENRICHMENT/20250529/16/134454fe-240e-367d-b732-8d83834cad27/1_org_zoom.jpg,"{""Materyal"":""Plastik"",""Parça Sayısı"":""24"",""Renk"":""Siyah"",""Kullanım Türü"":""Elbise"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top"",""hot_change""]",true,2026-08-23T10:00:54+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-23,2026-08-23T10:00:54+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,3,1,3,3,3,ev-yasam:birlesik-ev-yasam,3,-1,130.4,73.5,53625340,123350,53625340:123350,Orvila 5 Bölmeli Metal Elbise Askısı - Giysi Pantalon Eşarp Fular Kıyafet Gardrop Düzenleyici Organizer,Orvila,,https://www.trendyol.com/orvila/5-bolmeli-metal-elbise-askisi-giysi-pantalon-esarp-fular-kiyafet-gardrop-duzenleyici-organizer-p-53625340?boutiqueId=61&merchantId=123350,Orvila,5,98.9,99.9,1,0,TRY,"[""Sepette %1 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,"Son 3 günde 1,5B+ ürün satıldı!",3,1500,500,4.4,6311,,0,153,"8,8B kişinin sepetinde","164,1B kişi favoriledi","Son 24 saatte 4,2B kişi görüntüledi",,,0,,,,13 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Ziyaret Edilen 1. Ürün,,{},0,,refreshed,"[""daily_top"",""hot_change""]",true,2026-08-23T10:00:54+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-23,2026-08-23T10:00:54+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,4,1,4,4,1,ev-yasam:birlesik-ev-yasam,4,0,114.3,69.1,996042727,716966,996042727:716966,Dream Time Bambu Premium Sıvı Geçirmez Fitted Alez | Bambu Ultra Sessiz Yatak Koruyucu,Dream Time,Alez,https://www.trendyol.com/dream-time/bambu-premium-sivi-gecirmez-fitted-alez-bambu-ultra-sessiz-yatak-koruyucu-p-996042727?boutiqueId=61&merchantId=716966,Dream Time,,299.9,,,0,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.4,3304,1585,13,659,"7,3B kişinin sepetinde","91,5B kişi favoriledi","Son 24 saatte 3,4B kişi görüntüledi",4999,TRY,0,1,1,3,13 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1783/prod/QC_ENRICHMENT/20251102/10/51284de4-dbe9-3dd8-8e61-d55082ee9f59/1_org_zoom.jpg,"{""Materyal"":""Bambu + Polyester"",""Renk"":""Beyaz"",""Özellik"":""Su Geçirmez"",""Materyal Bileşeni"":""Bambu/pes Üst Yüzey & PU Membran"",""Yıkama Talimatı"":""T44"",""Paket İçeriği"":""1'li"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top""]",true,2026-08-23T10:00:54+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-23,2026-08-23T10:00:54+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,5,1,5,5,1,ev-yasam:birlesik-ev-yasam,5,0,117.1,64.2,943829884,152772,943829884:152772,Serstil 6'lı Valiz Düzenleyici Bavul Içi Organizer Set Seyahat Hurcu Pembe Puantiyeli,Serstil,,https://www.trendyol.com/serstil/6-li-valiz-duzenleyici-bavul-ici-organizer-set-seyahat-hurcu-pembe-puantiyeli-p-943829884?boutiqueId=61&merchantId=152772,ESTİ,9,199.95,,,0,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.6,6377,,0,105,"9,3B kişinin sepetinde",207B kişi favoriledi,"Son 24 saatte 6,4B kişi görüntüledi",,,0,,,,13 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,,{},0,,refreshed,"[""daily_top"",""hot_change""]",true,2026-08-23T10:00:54+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-23,2026-08-23T10:00:54+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,6,1,6,6,1,ev-yasam:birlesik-ev-yasam,6,2,114.6,63.7,443041832,145854,443041832:145854,Balkan Room 6'lı Beyaz Çekmece Içi Düzenleyici Organizer Set - Çok Amaçlı Dolap Içi Kutu Seti,Balkan Room,Dolap İçi Düzenleyici,https://www.trendyol.com/balkan-room/6-li-beyaz-cekmece-ici-duzenleyici-organizer-set-cok-amacli-dolap-ici-kutu-seti-p-443041832?boutiqueId=61&merchantId=145854,Balkan E-Ticaret Limited Şirketi,95,199.9,,,0,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.6,10370,5513,5,164,"8,4B kişinin sepetinde","318,4B kişi favoriledi","Son 24 saatte 5,6B kişi görüntüledi",4999,TRY,0,1,1,3,13 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1417/product/media/images/prod/QC/20240713/16/e1cf3be6-48a9-3d2a-b274-191ff3f4dde6/1_org_zoom.jpg,"{""Parça Sayısı"":""6"",""Materyal"":""Kumaş"",""Boyut/Ebat"":""28 x 28"",""Renk"":""Beyaz"",""Materyal Bileşeni"":""Mukavva"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top"",""hot_change""]",true,2026-08-23T10:00:54+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-23,2026-08-23T10:00:54+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,7,1,7,7,1,ev-yasam:birlesik-ev-yasam,7,-1,117.6,63.2,802483327,418720,802483327:418720,Lilac Home Yapay Çiçek Elmas Saksıda 80 Cm Yoğun Yapraklı Koyu Yeşil Okaliptus Sarkıt,Lilac Home,,https://www.trendyol.com/lilac-home/yapay-cicek-elmas-saksida-80-cm-yogun-yaprakli-koyu-yesil-okaliptus-sarkit-p-802483327?boutiqueId=61&merchantId=418720,Lilac Home,,159.99,,,0,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.6,23281,,0,1072,"11,7B kişinin sepetinde","708,2B kişi favoriledi","Son 24 saatte 4,6B kişi görüntüledi",,,0,,,,13 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,,{},0,,refreshed,"[""daily_top""]",true,2026-08-23T10:00:54+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-23,2026-08-23T10:00:54+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,8,1,8,8,1,ev-yasam:birlesik-ev-yasam,8,-1,104.2,70.1,816189035,256324,816189035:256324,thebestnzm ÇT Çeçem Ticaret Duvara Monte Mop Ve Paspas Tutucu Gold,thebestnzm,Askılık,https://www.trendyol.com/thebestnzm/ct-cecem-ticaret-duvara-monte-mop-ve-paspas-tutucu-gold-p-816189035?boutiqueId=61&merchantId=256324,MorzaPazari,85,16.83,17,1,13.3,TRY,"[""Sepette %1 İndirim"",""10 TL Kupon"",""Kargo Bedava""]",InStock,50 adetten fazla stok sunulmuştur,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,3.8,1505,652,4,88,"1,7B kişinin sepetinde","73,2B kişi favoriledi",Son 24 saatte 1B kişi görüntüledi,4999,TRY,0,1,1,3,13 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1681/prod/QC/20250522/22/521468ef-a69d-3419-922d-5e6d7abf52cd/1_org_zoom.jpg,"{""Materyal"":""Belirtilmemiş"",""Renk"":""Beyaz"",""Yükseklik"":""3 cm"",""Genişlik"":""6 cm"",""Askılık Tipi"":""Duvara Monte"",""Stil"":""Klasik"",""Tema / Stil"":""Klasik"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top""]",true,2026-08-23T10:00:54+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-23,2026-08-23T10:00:54+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,9,1,9,9,1,ev-yasam:birlesik-ev-yasam,9,5,100,70.8,1040037192,677198,1040037192:677198,Amentes Led Işıklı Usb Şarjlı Dikdörtgen Masa Üstü Makyaj Aynası Makyaj Aynası Dokunmatik,Amentes,Ayna,https://www.trendyol.com/amentes/led-isikli-usb-sarjli-dikdortgen-masa-ustu-makyaj-aynasi-makyaj-aynasi-dokunmatik-p-1040037192?boutiqueId=61&merchantId=677198,Amentes,,189.9,,,0,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,3.9,794,468,3,275,"6,5B kişinin sepetinde","43,8B kişi favoriledi","Son 24 saatte 4,8B kişi görüntüledi",4999,TRY,0,1,1,3,13 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1739/prod/QC_PREP/20250827/18/87721c2d-e6b5-3fee-baf7-845412fc2235/1_org_zoom.jpg,"{""Materyal"":""Plastik"",""Renk"":""Çok Renkli"",""Parça Sayısı"":""1"",""Şekil"":""Dikdörtgen"",""Çeşit"":""LED Işıklı Ayna"",""Menşei"":""CN""}",20,5,refreshed,"[""daily_top""]",true,2026-08-23T10:00:54+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-23,2026-08-23T10:00:54+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,10,1,10,10,1,ev-yasam:birlesik-ev-yasam,10,-1,104.8,63.6,854333979,311243,854333979:311243,Vienev 13'lü Dolap Içi Çekmece Düzenleyici - Mutfak Çekmece Içi Kaşıklık Organizer,Vienev,Makyaj Organizerı,https://www.trendyol.com/vienev/13-lu-dolap-ici-cekmece-duzenleyici-mutfak-cekmece-ici-kasiklik-organizer-p-854333979?boutiqueId=61&merchantId=311243,Vienev,13,198.9,,,0,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.6,6869,3260,5,171,"7,8B kişinin sepetinde","278,7B kişi favoriledi","Son 24 saatte 5,9B kişi görüntüledi",4999,TRY,0,1,1,3,13 saat 52 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1536/product/media/images/ty1537/prod/QC/20240912/09/231e745c-c59d-3171-ac3f-014d2e97a3c6/1_org_zoom.jpg,"{""Parça Sayısı"":""13"",""Materyal"":""Plastik"",""Renk"":""Beyaz"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top"",""hot_change""]",true,2026-08-23T10:00:54+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
